col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
-22.0,12.0,9.0,-53.0,-4.0,pink,-34.0,-44.0,72.0,-4.0,Michelle Lambert
-40.0,-87.0,-24.0,-34.0,37.0,brown,-66.0,-70.0,-6.0,-8.0,Angela Myers
54.0,56.0,-68.0,61.0,31.0,blue,8.0,99.0,-45.0,-66.0,Alexandra Andrade
-72.0,6.0,-14.0,12.0,16.0,purple,88.0,61.0,79.0,-7.0,David Griffin
-46.0,-30.0,6.0,37.0,86.0,brown,24.0,-90.0,57.0,61.0,Katherine Kennedy
-13.0,6.0,-78.0,-89.0,-78.0,blue,2.0,31.0,36.0,34.0,Michelle Lambert
-88.0,17.0,-55.0,-1.0,83.0,olive,42.0,6.0,-83.0,-1.0,Roy Chandler
78.0,-22.0,-100.0,-54.0,61.0,blue,7.0,-33.0,-76.0,-75.0,Michelle Lambert
57.0,77.0,-81.0,9.0,2.0,purple,-76.0,-51.0,64.0,83.0,David Griffin
90.0,-44.0,-60.0,35.0,75.0,blue,63.0,-23.0,97.0,25.0,David Griffin
16.0,-73.0,-67.0,-18.0,85.0,cyan,-32.0,59.0,67.0,-3.0,Melissa Mayer
33.0,-63.0,-36.0,-95.0,-22.0,red,6.0,-5.0,9.0,46.0,Scott Peck
16.0,-85.0,-13.0,-33.0,79.0,gray,69.0,51.0,-44.0,-22.0,Roy Chandler
3.0,-28.0,85.0,-8.0,36.0,orange,21.0,48.0,-50.0,-78.0,Timothy Wise
25.0,-17.0,94.0,69.0,-82.0,orange,8.0,-1.0,-7.0,-63.0,Alexandra Andrade
38.0,-96.0,-84.0,44.0,7.0,brown,62.0,95.0,80.0,44.0,Michelle Bell
-96.0,-71.0,-39.0,82.0,,gray,-3.0,28.0,-100.0,71.0,Tommy Hunter
81.0,-25.0,68.0,-1.0,-60.0,brown,-87.0,11.0,-78.0,41.0,Marc Collins
5.0,-11.0,7.0,47.0,0.0,pink,-35.0,-45.0,20.0,-3.0,Aaron Hutchinson
61.0,-84.0,41.0,43.0,-69.0,blue,-42.0,-52.0,-57.0,-48.0,Marc Collins
87.0,60.0,-24.0,-46.0,-95.0,cyan,44.0,76.0,-56.0,52.0,Roy Chandler
-59.0,-26.0,-4.0,-37.0,17.0,orange,-77.0,-35.0,-47.0,-5.0,Angela Myers
78.0,-24.0,50.0,66.0,-20.0,cyan,-75.0,45.0,-61.0,77.0,Michelle Miller
61.0,78.0,87.0,-26.0,-90.0,orange,24.0,32.0,19.0,-84.0,Gabriel Perez
